image	type	mode	inode	offset	size	crc32	path	target	extracted_path
image-380000	file	100555	3221225478	491520	149136	74426564	lib/libasound.so.2		image-380000/lib/libasound.so.2
image-380000	file	100666	422	640656	2411	b21c5402	usr/share/lua/service/toyotamanager/swupdateclient.lua		image-380000/usr/share/lua/service/toyotamanager/swupdateclient.lua
image-380000	symlink	120555	3221225479	0	0	0	lib/libasound.so	libasound.so.2	
image-380000	file	100555	3221225480	643072	18375	aef47e0d	lib/libpps.so.1		image-380000/lib/libpps.so.1
image-380000	file	100444	212	661447	2100	7acdcb2d	boot/scripts/nav.sh		image-380000/boot/scripts/nav.sh
image-380000	symlink	120555	3221225481	0	0	0	lib/libpps.so	libpps.so.1	
image-380000	file	100555	3221225482	663552	262260	665a2d08	lib/libdbus-1.so.3		image-380000/lib/libdbus-1.so.3
image-380000	file	100666	584	925812	3922	711bd8b1	usr/share/connmgr/RouteHistory_InitHdlr.lua		image-380000/usr/share/connmgr/RouteHistory_InitHdlr.lua
image-380000	file	100444	535	929734	53	325a15d8	etc/splash.conf		image-380000/etc/splash.conf
image-380000	symlink	120555	3221225483	0	0	0	lib/libdbus-1.so	libdbus-1.so.3	
image-380000	file	100555	3221225484	929792	158026	53652cb3	lib/libjsoncpp.so.1		image-380000/lib/libjsoncpp.so.1
image-380000	file	100444	211	1087818	1689	a338e86f	boot/scripts/media.sh		image-380000/boot/scripts/media.sh
image-380000	file	100444	507	1089507	26	6ef16c7d	etc/ttys		image-380000/etc/ttys
image-380000	symlink	120555	3221225485	0	0	0	lib/libjsoncpp.so	libjsoncpp.so.1	
image-380000	file	100555	3221225486	1089536	228301	4dfab066	lib/libsvcipc.so.1		image-380000/lib/libsvcipc.so.1
image-380000	file	100666	446	1317837	1007	88e3ea6e	usr/share/lua/stack.lua		image-380000/usr/share/lua/stack.lua
image-380000	file	100444	563	1318844	65	7bcc7fe6	etc/system/config/calib.lilliput		image-380000/etc/system/config/calib.lilliput
image-380000	symlink	120555	3221225487	0	0	0	lib/libsvcipc.so	libsvcipc.so.1	
image-380000	file	100555	3221225488	1318912	146564	9ce6cf7f	lib/libexpat.so.1		image-380000/lib/libexpat.so.1
image-380000	file	100666	363	1465476	883	3e8631f4	usr/share/lua/mictest.lua		image-380000/usr/share/lua/mictest.lua
image-380000	symlink	120555	3221225489	0	0	0	lib/libexpat.so	libexpat.so.1	
image-380000	file	100555	3221225490	1466368	34518	d2ec139	lib/libhiddi.so.1		image-380000/lib/libhiddi.so.1
image-380000	file	100444	497	1500886	2301	8a80c11e	usr/lib/terminfo/q/qansi-t		image-380000/usr/lib/terminfo/q/qansi-t
image-380000	file	101777	302	1503187	45	7f3fccf3	usr/bin/pmctrl		image-380000/usr/bin/pmctrl
image-380000	symlink	120555	3221225491	0	0	0	lib/libhiddi.so	libhiddi.so.1	
image-380000	file	100555	3221225492	1503232	51253	780eab28	lib/libgestures.so.1		image-380000/lib/libgestures.so.1
